"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.1,0.32,0.34,0.13,0.5,0.48,0.31,0.41,0.46,0.71,1.52,-0.1,0.32,0.42
 ALIMENTAÇÃO E BEBIDAS,-0.94,0.16,-0.25,-0.68,0.06,0.02,-0.24,0.02,0.36,1.05,-0.09,-0.22,-0.09,-0.05
 ALIMENTAÇÃO NO DOMICÍLIO,-0.55,0.23,0.06,-1.08,-0.13,-0.28,-1.06,-0.16,0.24,0.61,-0.14,-0.31,-0.05,-0.17
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.26,-0.38,1.16,-9.2,-1.76,-2.78,-2.09,-2.76,-2.86,-3.8,-2.9,-2.26,-0.15,-2.41
 ARROZ,-3.47,-0.36,2.75,-1.69,-1.96,0.42,-0.63,-1.98,-1.28,-2.03,-1.95,-1.33,-1.33,-1.14
 FEIJÃO-MULATINHO,       -,       -,       -,-21.71,       -,       -,       -,-17.74,-13.77,       -,       -,       -,       -,-18.41
 FEIJÃO-PRETO,-5.4,-0.43,       -,       -,       -,       -,0.36,       -,       -,-5.13,       -,-3.25,1.58,-3.52
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-6.97,       -,       -,       -,-0.68,-3.76,       -,       -,       -,       -,-2.79
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-2.4,-7.59,-1.29,-8.6,-6.7,-4.02,-0.89,-9.56,-5.33,-5.28,4.39,-3.29
" FARINHAS, FÉCULAS E MASSAS",0.51,-0.96,-0.02,-3.28,-1.28,0.92,-0.47,-0.54,2.16,-0.14,-0.23,-0.13,0.71,-0.27
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,2.79,-0.22,       -,       -,       -,       -,0.82
 MACARRÃO,1.56,-0.71,0.32,-3.63,-1.6,3.46,-0.65,-1.87,4.86,-1.35,-1.34,0.33,-0.63,-0.33
 FUBÁ DE MILHO,       -,       -,0.42,-6.37,       -,       -,       -,       -,-3.17,       -,0.51,       -,       -,-3.06
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,-0.25,       -,       -,       -,       -,       -,-0.25
 FLOCOS DE MILHO,       -,       -,       -,0.26,       -,-0.35,       -,       -,       -,       -,       -,       -,       -,0.17
 FARINHA DE TRIGO,-2.19,-0.8,2.05,       -,-0.12,       -,-0.77,       -,       -,1.29,2.67,-1.68,1.09,0.17
 FARINHA VITAMINADA,       -,       -,       -,1.77,       -,       -,       -,1.2,       -,       -,       -,       -,       -,1.5
 FARINHA DE MANDIOCA,-0.52,       -,       -,-3.18,       -,-2.09,-0.41,-0.24,1.98,       -,       -,-0.59,       -,0.27
 MASSA SEMIPREPARADA,-0.39,-1.43,-2.19,       -,-1.38,-0.94,       -,       -,       -,0.51,-0.05,0.43,3.18,-1.07
" TUBÉRCULOS, RAÍZES E LEGUMES",14.6,13.51,13.38,3.34,4.74,9.67,-1.5,8.1,1.98,16.77,9.92,14.5,7.95,8.33
 BATATA-INGLESA,30.58,24.47,28.77,20.56,25.92,33.12,9.7,19.55,11.67,36.19,35.22,29.52,33.22,25.65
 INHAME,       -,       -,       -,0.76,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.76
 MANDIOCA (AIPIM),       -,0.17,       -,0.76,       -,       -,       -,       -,       -,       -,       -,0.95,5.41,1.29
 ABÓBORA,-1.23,       -,-2.31,       -,       -,-3.12,       -,       -,       -,       -,-1.33,       -,       -,-1.78
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,-12.44,       -,       -,       -,       -,-12.43
 QUIABO,       -,       -,24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,24.0
